hindi,complaint,category
"युवक बार-बार युवती को ब्लैकमेल कर रहा था. युवती ने ब्लैकमेलिंग से परेशान होकर प्रेमी से ऐसा बदला लिया कि उसकी मौत हो गई. 10 दिन बाद पेट्रोल डालकर प्रेमिका ने प्रेमी की लाश को जला डाला. दरअसल, प्रेमिका एक नर्स है और प्रेमी कंपाउंडर का काम करता था. नर्स ने बदले की भावना से प्रेमी को बेहोश करने इंजेक्शन का ओवरडोज देकर मौत की नींद सुला दी. 10 दिन बाद पेट्रोल डालकर मृत शरीर को जलाने की कोशिश की. उसके बाद प्रेमिका ने हड्डी और कपड़ों को दूसरे जगह ले जाकर जला दिया.","The young man was repeatedly blackmailing the girl. Troubled by blackmailing, the girl took such revenge on her lover that he died. After 10 days, the girlfriend burnt her lover's body by pouring petrol. Actually, the girlfriend is a nurse and the boyfriend worked as a compounder. In a spirit of revenge, the nurse gave an overdose of injection to render the lover unconscious and put him to death. After 10 days, an attempt was made to burn the dead body by pouring petrol on it. After that the girlfriend took the bones and clothes to another place and burnt them.",3
गांव कमाच खेड़ा (जीन्द) के 25 / 30 ग्रामीण एक टाटा ऐस गाडी में हरिद्वार नहाने जा रहे थे। जिनका पानीपत से सनोली रोड पर एक ट्रक के साथ एक्सीडेंट हो गया। जिसमें 4 लोगो को चोटें लगी और 2 की मौत हो गई। घायल को पीजीआई रोहतक में दाखिल करवाया गया।,25/30 villagers of village Kamach Kheda (Jind) were going to Haridwar to take bath in a Tata Ace vehicle. Who had an accident with a truck on Panipat to Sanoli road. In which 4 people were injured and 2 died. The injured was admitted to PGI Rohtak.,1
"सोनीपत में रहने वाले एक बुजुर्ग की अगवा करके हत्या कर दी गई. गत 15 नवंबर
को बुज़ुर्ग का अगवा किया गया था","An elderly man living in Sonipat was kidnapped and murdered. last 15 november
The old man was kidnapped",2
"सोनीपत से 17 साल के नाबालिग का अपहरण कर चाकू से गोदकर हत्या करने वाले
चार आरोपियों को गिरफ्तार किया है. वारदात में इस्तेमाल की गई दो स्कूटी और चाकू
भी पुलिस ने बरामद कर लिया है.","Those who kidnapped a 17 year old minor from Sonipat and killed him with a knife
Four accused have been arrested. Two scooters and knife used in the crime
The police have also recovered it.",2
"लूटपाट की इस वारदात में आरोपियों ने कुल 25 लाख रुपये कैश और 3 किलो
सोने पर हाथ साफ किया। आरोपियों द्वारा लूटे गए सोने की कुल कीमत 1.70 करोड़
रुपये बताई जा रही है।","In this robbery incident, the accused took away a total of Rs 25 lakh in cash and 3 kg.
Cleaned up the gold. The total value of gold looted by the accused is Rs 1.70 crore.
It is being said that Rs.",0
स्कूल से बाहर निकलते ही छह वर्षीय बच्चे का अपहरण,Six year old child kidnapped as soon as he came out of school,2
"लड़की के परिवारवालों का कहना है कि आरोपी की भाभी ने लड़की को चाय पर
बुलाया था और चाय में नशीला पदार्थ मिलाकर उसे बेहोश कर दिया।नाबालिग को
बलात्कार के बाद छत से फें का","The girl's family members say that the accused's sister-in-law took the girl for tea.
Had called and mixed intoxicant in tea and made him unconscious.The minor
Thrown from the roof after rape",4
"हरियाणा के करनाल में मई में हुई चोरी के मामले में पुलिस को बड़ी कामयाबी हाथ
लगी है. पुलिस ने आरोपी को गिरफ्तार कर लिया है. गिरफ्तारी के बाद आरोपी ने हैरान
कर देने वाले किस्से बताएं हैं","Police got a big success in the case of theft that happened in May in Karnal, Haryana.
It is engaged. Police have arrested the accused. The accused surprised after the arrest
tell fascinating stories",0
"हरियाणा के जींद में गढी थानाक्षेत्र से एक छात्रा का अपहरण कर उसके साथ
दुष्कर्म करने का मामला सामने आया है.","Kidnapped a girl student from Garhi police station area in Jind, Haryana.
A case of rape has come to light.",4
"सातरोड रोड के नजदीक किराये के मकान में लीव इन रिलेशनशिप में रहने वाली
महिला के साथ सिवानी के दिनेश नाम व्यक्ति ने दुष्कर्म किया. महिला ने कहा कि
दिनेश उससे बैंक लोन की किश्त लेने के लिए आता था. उस दौरान उसकी जान पहचान
हुई. बाद में वह एक होटल में गया और दुष्कर्म किया. बाद में उसने शादी का झांसा
देकर उसका तलाक भी करवा दिया. अब वह उसके साथ किराये के मकान में रहता है,
लेकिन अंतिम बार वह 24 जनवरी को आया था और दुष्कर्म किया. महिला ने आरोप
लगाया कि वह उसको जान से मारने की धमकी भी दे रहा है.","Living in a live-in relationship in a rented house near Satroad Road.
The woman was raped by a man named Dinesh from Siwani. The woman said that
Dinesh used to come to him to collect the installment of bank loan. acquaintance with him during that time
Hui. Later he went to a hotel and raped her. Later he faked marriage
He even got her divorced. Now he lives with her in a rented house,
But the last time he came on January 24 and raped her. The woman alleged
She alleged that he was also threatening to kill her.",4
गांव भालौठ (रोहतक) के पास एक कार को ट्रक ने पीछे से टक्कर मार दी। जिसमे कार में सवार दोनो व्यक्तियों की मौका पर ही मौत हो गई।,A car was hit from behind by a truck near village Bhaloth (Rohtak). In which both the persons traveling in the car died on the spot.,1
"आपसी विवाद में एक 58 वर्षीय आदमी की बड़ी ही निर्ममता से हत्या कर दी गई.
58 साल के एक आदमी को कुल्हाड़ी से प्रहार करते हुए जख्मी कर दिया. 58 साल के
इस आदमी को गंभीर हालत में परिजनों के द्वारा अस्पताल लाया गया. जख्मी सदानंद
मंडल (58) वर्ष के थे जिनके ऊपर यह जानलेवा हमला किया गया.","A 58-year-old man was brutally murdered in a personal dispute.
A 58 year old man was injured while being attacked with an axe. 58 years old
This man was brought to the hospital by his family members in critical condition. injured sadanand
Mandal (58) was the person on whom this fatal attack was carried out.",3
"हरियाणा के झज्जर जिले में हरियाणा पुलिस के ASI और भिवानी DC
के गनमैन के घर चोरी हो गई है। चोरों ने घर से कैश, आभूषण व घरेलू सामान
चुराया है। साल्हावास थाना पुलिस ने चोरी का केस दर्ज कर मामले की जांच
शुरू कर दी है।","ASI and Bhiwani DC of Haryana Police in Jhajjar district of Haryana.
The gunman's house has been burgled. Thieves took cash, jewelery and household items from the house
have stolen. Salhawas police station registered a case of theft and investigated the matter.
Have started.",0
"अभियोजिका का बेटा होने के नाते दोषी को “उसकी सुरक्षा करनी चाहिए थी"", लेकिन वह उसका उत्पीड़क बन गया और “एक जानवर की तरह व्यवहार किया” और मां के साथ बलात्कार करने के बाद उसको आत्महत्या के लिए उकसाया","Being the son of the prosecutrix, the convict “was supposed to protect her”, but he became her harasser and “treated her like an animal” and drove her to commit suicide after raping the mother.",4
प्रेमिका ने अपने पति के साथ मिलकर प्रेमी की पीट-पीट कर निर्मम हत्या कर दी और साक्ष्य छुपाने की नियत से शव को आधी रात को दफनाने की तैयारी कर रही थी. तभी पुलिस ने पहुंच कर शव को कब्जे में लेकर प्रेमिका सहित दो को हिरासत में ले लिया.,"The girlfriend, along with her husband, brutally beat her lover to death and was preparing to bury the body at midnight with the intention of hiding the evidence. Then the police arrived, took the body into custody and took two people including the girlfriend into custody.",3
पंचकुला में मानव तस्करी के रैकेट का पर्दाफाश,Human trafficking racket busted in Panchkula,2
"हरियाणा के सोनीपत जिले में एक नाबालिग बलात्कार पीड़ित ने अपने ऊपर मिट्टी
का तेल डालकर खुद को आग लगा ली। लड़की को पीजीआई रोहतक ले जाया गया,
जहां उसकी हालत काफी गंभीर बनी हुई है।","In Sonipat district of Haryana, a minor rape victim covered herself with mud.
He poured oil on himself and set himself on fire. The girl was taken to PGI Rohtak,
Where his condition remains very serious.",4
"राजस्थान में आज कुछ बदमाशों ने गैंगस्टर कुलदीप जघीना की गोली मारकर हत्या
कर दी.","Today in Rajasthan, some miscreants shot dead gangster Kuldeep Jaghina.
Did it.",3
"रवेाड़ी शहर में म‍िष्‍ठा न कारोबारी के घर एक करोड़ रुपये की डकैती कॉलेज में पढ़ने
वाले छात्रों ने ही कारोबारी के घर डकैती की इस वारदात को अंजाम दिया थापुल‍िस ने
इस मामले में 5 में से 4 आरोपियों को माल के साथ धरदबोचा है और एक अन्‍य फरार
आरोपी की तलाश जारी है. कुल 5 आरोप‍ियों में से 3 छात्रों ने दो अन्‍य साथ‍ियों को
म‍िलाकर वारदात को अंजाम द‍िया था. आरोपियों ने यूट्यूब पर वीडियो देखकर वारदात
को अंजाम दिया था.","Robbery of one crore rupees in the house of a sweet merchant in Rawadi city. Students studying in college
The students themselves had committed this incident of robbery at the businessman's house. Police
In this case, 4 out of 5 accused have been arrested with the goods and another is absconding.
The search for the accused is ongoing. Out of total 5 accused, 3 students had accused two other colleagues.
The crime was committed together. The accused committed the crime after watching the video on YouTube
Had executed.",0
गांव सांपली निवासी कुलदीप और रालियावास निवासी दीपक दोनों आपस में दोस्त थे। दोनों किसी फंक्शन में जाने के लिए गांव सांपली से बाइक पर सवार होकर साल्हावास जा रहे थे। इसी दौरान बीच रास्ते में तेज रफ्तार ऑल्टो गाड़ी ने पीछे से उनकी बाइक को टक्कर मार दी।,"Kuldeep, resident of village Sampali, and Deepak, resident of Raliyawas, were friends among themselves. Both of them were going to Salhawas on a bike from village Sampali to attend some function. Meanwhile, a speeding Alto car hit his bike from behind in the middle of the road.",1
"गुरुवार को पीड़िता अपनी सहेली के घर रात में रुकने के लिए गई थी जहां आरोपी ने
उसे कुछ पेय पदार्थ दिया और इसके बाद बलात्कार किया.","On Thursday, the victim had gone to her friend's house to stay for the night where the accused
Gave her some drinks and then raped her.",4
"हरियाणा के करनाल के सेक्टर-13 में चोरों ने एक मकान में सेंध लगाकर लाखों रुपए
की नकदी व गहनों पर हाथ साफ कर दिया। बताया जा रहा है कि पहले चोरों ने घर में
बैठकर शराब पी और उसके बाद घर के कीमती सामान को चुरा लिया। मकान मालिक
बोले करीब 50 लाख रुपए की चोरी हुई है।","Thieves broke into a house and stole lakhs of rupees in Sector-13 of Karnal, Haryana.
Made away with Rs 1,000 worth of cash and jewellery. It is being told that first the thieves broke into the house.
They sat and drank alcohol and then stole valuables from the house. landlord
Said that around Rs 50 lakh was stolen.",0
"पुलिस ने 58 वर्षीय एक व्यक्ति को मोटरसाइकिल पर तेज रफ्तार में पैदल जा रही
महिला की चेन छीनने के आरोप में गिरफ्तार किया है। पूछताछ के दौरान, उसने अपने
जेल में बंद बेटे के लिए जमानत राशि जुटाने के लिए अपराध करने की बात कबूल की।","Police caught a 58-year-old man traveling on foot at high speed on a motorcycle.
Arrested for snatching a woman's chain. During interrogation, he
Confessed to committing the crime to raise bail money for his jailed son.",0
दो मासूम बच्चों का अपहरण करके भाग रहे आरोपी अजय कुमार ने पुलिस को बताया कि उसका कोई नहीं है इसलिए उसने बच्चों का अपहरण किया.,"Accused Ajay Kumar, who was running away after kidnapping two innocent children, told the police that he had no one, hence he kidnapped the children.",2
"कैथल के खेतों में एक युवक का शव पड़ा हुआ है, जिसके बाद पुलिस मौके पर पहुंची और शव के पास पड़ी मोटरसाइकिल के नंबर के आधार पर मृतक युवक की जानकारी जुटाई गई. युवक की पहचान कुरुक्षेत्र जिला के विकास उर्फ बंटी के रूप में हुई. पुलिस ने मृतक के परिजनों को सूचित किया तथा परिजनों ने शव की पहचान की. इस दौरान मृतक युवक के परिजनों ने आरोप लगाया कि विकास को उसकी प्रेमिका ज्योति ने फोन करके कुरुक्षेत्र से यहां बुलाया तथा हांसी में उसकी पिटाई की.","The dead body of a youth was lying in the fields of Kaithal, after which the police reached the spot and collected information about the deceased youth on the basis of the number of the motorcycle lying near the body. The youth was identified as Vikas alias Bunty of Kurukshetra district. The police informed the relatives of the deceased and the relatives identified the body. During this time, the family members of the deceased youth alleged that Vikas was called here from Kurukshetra by his girlfriend Jyoti and thrashed him in Hansi.",3
सां वाली चूंगी सिटी हार्ट नजदीक भयानक सड़क हादसा होने के अनुसार तेज रफ्तार कार की टक्कर से 3 लड़कियां गंभीर घायल हो गई।,"According to a terrible road accident near Sanwali Chungi City Heart, 3 girls were seriously injured after being hit by a speeding car.",1
पलवल जिले में नेशनल हाईवे 19 पर बंचारी गांव के पास हादसे में महिला की मौत हो गई है। जबकि उसका पति गंभीर रूप से घायल हो गया। पुलिस ने घायल की शिकायत पर अज्ञात वाहन के अज्ञात चालक के खिलाफ मुकदमा दर्ज कर लिया है। पुलिस ने शव को पोस्टमार्टम के बाद परिजनों को सौंप दिया।,"A woman has died in an accident near Banchari village on National Highway 19 in Palwal district. While her husband was seriously injured. On the complaint of the injured, the police have registered a case against the unknown driver of the unknown vehicle. The police handed over the body to the family after post-mortem.",1
"करनाल के इंजीनियरिंग कॉलेज में पढ़ने वाली दलित छात्रा ने आरोप लगाया है कि
उसके ही साथ पढ़ने वाले एक छात्र ने उसके साथ पहले तो बलात्कार किया और फिर
एमएमएस बनाया।","A Dalit student studying in an engineering college in Karnal has alleged that
A student studying with her first raped her and then
Created MMS.",4
"पलवल में एक बस मार्शल चलते एक 4 साल की मासूम बच्ची अगवा होने से बच
गई.","A 4 year old innocent girl escaped being kidnapped by a bus marshal in Palwal.
Went.",2
पंचकूला केमुख्य मार्ग पर स्थानीय शहर बलाचौर के बाईपास के रक्का कंगनापुल से आधा किलोमीटर पहले एक कार की स्कूटर से टक्कर हो गई।,"On the main road of Panchkula, a car collided with a scooter half a kilometer before Rakka Kanganapul of the bypass of local town Balachaur.",1
"हरियाणा की फरीदाबाद जिला पुलिस ने एक महिला और सात माह की बच्ची के
साथ कथित बलात्कार के सिलसिले में दो लोगों के खिलाफ मामला दर्ज कर जांच शुरू
कर दी है।","Haryana's Faridabad district police arrested a woman and a seven-month-old girl.
A case has been registered against two people in connection with the alleged rape and investigation has started.
Done.",4
एन.एच. 152डी पर गांव बचीनी (महेन्द्रगढ़) फ्लाईओवर के पास एक स्विफ्ट कार को किसी अज्ञात वाहन ने टक्कर मार दी। कार में 6 व्यक्ति सवार थे। जिनको नागरिक अस्पताल महेन्द्रगढ़ ले जाया गया। जहां पर डाक्टरों ने 4 लोगों को मृत घोषित कर दिया और दो को प्राथमिक उपचार के बाद रेवाड़ी के लिए रैफर कर दिया ।,N.H. A Swift car was hit by an unknown vehicle near village Bachini (Mahendragarh) flyover on 152D. There were 6 persons in the car. Who were taken to Civil Hospital Mahendragarh. Where the doctors declared 4 people dead and referred two to Rewari after first aid.,1
रेवाड़ी में एक स्कूल के छात्र की मौत इस मासूम की मौत की वजह उसके स्कूल के चेयरमैन सह संचालक व अन्य शिक्षक बने हैं. दरअसल मासूम मृतक के स्कूल के चेयरमैन सह संचालक व अन्य शिक्षक ने उसको इतना पीटा की बच्ची की जान चली गई.,"Death of a school student in Rewari. The reason for the death of this innocent child has been the chairman cum director and other teachers of his school. In fact, the chairman-cum-director and other teachers of the innocent deceased's school beat her so much that the girl lost her life.",3
"प्रेमी और प्रेमिका ने मिलकर प्रेमिका के दो मासूम बच्चों की हत्या कर दी. प्रेमी के
सिर पर तो खून सवार था उसका साथ दिया बच्चों की मां ने जो उस व्यक्ति से प्रेम
करती थी.","The boyfriend and girlfriend together killed the girlfriend's two innocent children. lover's
There was blood on his head, he was supported by the mother of the children who loved that person.
Used to do.",3
हरियाणा के करनाल शहर में एक बैंक डाकैती की घटना घटी। चोरों ने बैंक में घुसकर नकदी को लूट लिया है।,A bank robbery incident took place in Karnal city of Haryana. Thieves have entered the bank and looted the cash.,0
अंकित वासी गुभाना ( झज्जर ) की बागपत (यूपी) में सड़क दुर्घटना में मौत । कांवड़ लेकर घर आते समय अंकित की रास्ते में तबीयत खराब होने पर इसने गांव से अपने दो दोस्तों को बुला लिया और एक दोस्त को कावड़ देकर यह खुद दूसरे दोस्त के साथ मोटरसाईकिल पर बैठकर घर जा रहा था । गौरीपुल उत्तर प्रदेश के पास इनकी मोटरसाईकिल का एक टैम्पू के साथ एक्सीडेंट हो गया। जिसमें अमन की मौत हो गई।,"Ankit Vasi Gubhana (Jhajjar) died in a road accident in Baghpat (UP). While returning home with Kavad, when Ankit fell ill on the way, he called two of his friends from the village and after giving Kavad to one friend, he himself was going home on a motorcycle with another friend. His motorcycle met with an accident with a tempo near Gauripul, Uttar Pradesh. In which Aman died.",1
"संदीप दो दिन पहले ही अपनी पत्नी ख़ुशी के साथ अपनी बहन की ससुराल
रघुनाथपुरा में आया हुआ था। शनिवार सुबह लगभग 10 बजे संदीप और ख़ुशी के बीच
किसी बात को लेकर विवाद हो गया और उसने घर में रखे जुताई करने वाले कृषि यंत्र
को से पत्नी के सर पर दे मारा, जिससे ख़ुशी की मौके पर मौत हो गई।","Sandeep had gone to his sister's in-laws house with his wife Khushi two days ago.
Had come to Raghunathpura. On Saturday morning around 10 am between Sandeep and Khushi
There was a dispute over some issue and he kept plowing agricultural equipment in the house.
He hit his wife on the head with a crowbar, due to which Khushi died on the spot.",3
हिसार में महिला ने अपने बचो को मार क्र उनकी लाश को झाड़ियों में फें का.,"In Hisar, a woman killed her children and threw their bodies in the bushes.",3
यमुनानगर के रादौर में वर्ष 1995 में अपने साथियों के साथ मिलकर दंपति से मारपीट कर लूट के मामले में फरार चल रहे आरोपी को अंबाला एसटीएफ की टीम ने काबू कर लिया है। आरोपी ओमप्रकाश पर 5 हजार रुपये का ईनाम भी रखा हुआ था और इलाका पुलिस के लिए इसकी गिरफ्तारी सिरदर्द बनी हुई थी। ओमप्रकाश की पुलिस पिछले 28 साल से तलाश कर रही थी।,"Ambala STF team has arrested the accused who was absconding in the case of robbery after assaulting a couple along with his associates in 1995 in Radaur, Yamunanagar. A reward of Rs 5,000 was also placed on the accused Omprakash and his arrest had become a headache for the area police. Police was searching for Omprakash for the last 28 years.",0
"थाना नागल के अन्तर्गत पुलिस की वर्दी पहनकर बदमाशों ने एक चीनी मिल से
निकले ट्रक को लूट लिया।","Under Nagal police station, miscreants, wearing police uniform, looted a sugar mill.
Looted the truck that came out.",0
विष्णु जो डीघल चौकी (झज्जर ) में होमगार्ड के पद पर तैनात था। ड्यूटी समाप्त करके मोटरसाईकल पर अपने घर जा रहा था। सुनारिया गांव के पास इसकी मोटरसाइकिल के आगे एक लावारिस पशु आने के कारण एक्सीडेंट हो गया। जिसको पीजीआई रोहतक ले जाया गया। जहां पर डाक्टर ने इसे मृत घोषित कर दिया।,"Vishnu who was posted as home guard at Deeghal post (Jhajjar). After finishing his duty, he was going to his home on a motorcycle. He met with an accident near Sunaria village due to an abandoned animal coming in front of his motorcycle. Which was taken to PGI Rohtak. Where the doctor declared it dead.",1
"महिला ने स्वीकार किया कि बच्ची घर पर अकेली थी. आरोपी महिला ने एक पड़ोसी
ने बताया कि यह पहली बार नहीं था जब कविता ने अपने बच्चे को घर में अकेला छोड़ा
था. महिला जब छुट्टियों पर गई थी तो बच्ची को लगभग 10 दिनों तक घर में अकेला
छोड़ दिया था.बच्ची16 जून को घर पर बेहोश पाई गई थी. बयान में आगे कहा गया कि
बच्ची पर आघात का कोई निशान नहीं था लेकिन उसे घटनास्थल पर ही मृत घोषित कर
दिया गया.मामला पानीपर शहर का है","The woman admitted that the child was alone at home. The accused woman told a neighbor
Told that this was not the first time that Kavita left her child alone at home.
Was. When the woman went on holidays, the girl was left alone at home for about 10 days.
The girl was found unconscious at home on June 16. The statement further said that
There was no sign of trauma on the girl but she was declared dead at the spot.
Given.The matter is about water city",3
दो युवकों ने उसके साथ बलात्कार किया और चारों युवकों ने उसके साथ छेड़छाड़ की. बलात्कार के बाद उसका कपड़े से मुंह और हाथ पैर बांधकर गांव के तालाब में डालकर मारने का प्रयास किया. लेकिन छात्रा के परिजन उसकी तलाश करते हुए पहुंचे जिसके बाद आरोपी सभी युवक भाग गए.,"Two youths raped her and all four youths molested her. After the rape, an attempt was made to kill her by tying her mouth and hands and legs with a cloth and throwing her in the village pond. But the student's family arrived searching for her, after which all the accused youths ran away.",4
"पंचकूला में अपनी मालकिन के साथ गाड़ी में बाजार गई नौकरानी को तीन
नकाबपोश होने गाड़ी सहित किडनैप कर लिया। किडनैप करने के बाद आरोपी अंबाला
से होते हुए कैथल की ओर आ रहे थे और अंबाला पहुंचते ही उन्होंने किडनैप की गई
महिला को वहीं फें क दिया।","In Panchkula, the maid who went to the market in a car with her mistress, got three fines.
Being masked, he was kidnapped along with his car. Accused after kidnapping Ambala
They were coming towards Kaithal via Ambala and as soon as they reached Ambala, they were kidnapped.
The woman was thrown there.",2
"यमुनानगर के एक परिवार को शादी में जाना पड़ गया।मौके का फायदा उठाकर चोर
उनका सारा घर साफ कर गए।चोर घर में से लाखों का कीमती सामान चुराकर ले गए।
राजेश कुमारएक प्राइवेट कंपनी में काम करता है। वह और उसका परिवार 19 जनवरी
को एक विवाह समारोह में शामिल होने के लिए होशियारपुर गए थे। वीरवार सुबह जब
वापस आए तो कोठी के ताले टूटे हुए थे। अंदर जाकर देखा तो सारा सामान बिखरा
पड़ा था।चोरों ने घर के अंदर रखी अलमारियों के ताले भी तोड़े थे। चोर घर में खड़ी एक
मोटरसाइकिल, दो एलईडी, दो गैस सिलेंडर समेत अन्य कीमती सामान ले गए। राजेश
कुमार के अनुसार करीब दो लाख रुपये का सामान चोरी हुआ है।","A family from Yamunanagar had to go to a wedding. Taking advantage of the opportunity, a thief
Their entire house was cleaned. Thieves stole valuables worth lakhs from the house.
Rajesh Kumar works in a private company. He and his family 19 January
Had gone to Hoshiarpur to attend a marriage ceremony. Thursday morning when
When we came back, the locks of the house were broken. When I went inside I saw all the stuff scattered.
The thieves had also broken the locks of the cupboards kept inside the house. a thief standing in the house
A motorcycle, two LEDs, two gas cylinders and other valuables were taken away. Rajesh
According to Kumar, goods worth about Rs 2 lakh were stolen.",0
स्विफ्ट कार सड़क पर खड़े कैंटर में जा घुसी। टक्कर इतनी जबरदस्त थी कि तीन दोस्त कार में बुरी तरह पिस गए।,The Swift car rammed into a canter parked on the road. The collision was so severe that three friends were badly crushed in the car.,1
हरियाणा में पंचकुला में पांच साल की बच्ची से बलात्कार कर उसकी हत्या करने वाले एक किशोर को शुक्रवार को गिरफ्तार कर लिया.,"A teenager who raped and murdered a five-year-old girl in Panchkula, Haryana, was arrested on Friday.",4
पंचकुला में दिवाली की रात चोरों ने उड़ाए 15 करोड़ के गहने,Thieves stole jewelery worth Rs 15 crore in Panchkula on Diwali night,0
"15 साल की बची के साथ दादा ताऊ और नौकर ने दुष्कर्म कर के उसकी हत्या कर
द। वारदात को तब अंजाम दिया जब उसके माँ बाप बहार गए थे.","Grandfather and servant raped and murdered a 15 year old girl.
The. The incident was committed when his parents had gone out.",3
"सांसद की पत्नी, उनके बेटे और ‘ऑडिटर’ तीनों राजमार्ग से एक बस में सवार हुए
और अपने घर पहुंच गए. वर्मा ने कहा कि दोपहर साढ़े 12 बजे उन्होंने तीनों को बचा
लिया और दो अपहरणकर्ताओं को पकड़ लिया जबकि तीसरे आरोपी की तलाश जारी
है.","The MP's wife, his son and the 'auditor' boarded a bus from the highway.
And reached his home. Verma said that he saved all three at 12.30 pm
and arrested two kidnappers while the search for the third accused continues.
Is.",2
"इलाके में एक एएसआई पर चाकू से हमला हुआ है। हमलवार डकैती का आरोपी है
और जिस समय एएसआई उसे मायापुरी थाने ले जा रहे थे, उसी वक्त उसने हमला
किया।","An ASI has been attacked with a knife in the area. The attacker is accused of robbery
And when the ASI was taking him to Mayapuri police station, he attacked him.
Did.",0
"गोविंद ने अपनी मर्जी से बच्चा बिहार के मधुबनी के अपने रिश्तेदार विद्यानंद यादव
और उसकी पत्नी रामपरी देवी को दिया है.","Govind, of his own free will, gave the child to his relative Vidyanand Yadav of Madhubani, Bihar.
And given to his wife Rampari Devi.",2
"बीवी के जरिये पड़ोस की लड़की को बुलाया घर और उसके साथ दुष्कर्म
किया.आरोपी ने लड़की को इतना डरा कर रखा था कि उसने अपने साथ हो रहे दुराचार
की शिकायत अपने परिजनों से नहीं की.","Called neighbor's girl home through wife and raped her
Did. The accused had frightened the girl so much that she started molesting herself.
Did not complain to his family.",4
"पानीपत में 20 वर्षीय एक महिला का कथित तौर पर अपहरण और सामूहिक
बलात्कार का मामला आया है.मामले को अंजाम २१ लोगो ने दिया","A 20-year-old woman was allegedly kidnapped and gang-raped in Panipat.
A case of rape has come up. 21 people committed the crime.",2
"लड़की के अपने घरवालों को ब्लैकमेल करने के लिए खुद के अपहरण की कहानी
रची थी. अमेरिकी दूतावास ने सूचित किया कि अमेरिका की रहने वाली एक लड़की
क्लो रेनी मैकलॉघलिन 3 मई 2022 को दिल्ली पहुंची थी. उसके साथ ही एक अज्ञात
शख्स ने मारपीट की और उसकी पिटाई की. लड़की अमेरिका में अपने परिवार को
घटना की जानकारी देने के बाद से गायब है. पीड़िता ने 9 जुलाई को अमेरिकी सिटीजन
सर्विस को ईमेल कर बताया कि वह एक असुरक्षित माहौल में है जहां उसे शारीरिक और
भावनात्मक शोषण का सामना करना पड़ा है.","Story of girl kidnapping herself to blackmail her family
Was composed. The US Embassy informed that a girl from America
Chloe Renee McLaughlin reached Delhi on 3 May 2022. along with an unknown
The man assaulted and beat her. Girl to her family in America
Missing after giving information about the incident. The victim, an American citizen on July 9
Service and informed that he was in an unsafe environment where he was physically and
Have faced emotional abuse.",2
"यमुनानगर में तीन दिन पहले अगवा किए गए बच्चे की हत्या कर दी गई है. बदमाश ने
फिरौती की कॉल से पहले ही बच्चे को मार दिया था. पुलिस ने इस मामले में नाबालिग
आरोपी को गिरफ्तार कर लिया है.","A child who was kidnapped three days ago has been murdered in Yamunanagar. the scoundrel
The child was killed even before the ransom call. Police arrested minor in this case
The accused has been arrested.",2
"सोनीपत के एक गांव में नाबालिग लड़की के साथ चार दरिंदों ने घर में घुसकर ही
गैंगरेप की वारदात को अंजाम दे डाला.","In a village of Sonipat, four criminals along with a minor girl entered the house.
Committed the incident of gangrape.",4
जींद में एक नाबालिग लड़की का अपहरण कर दुष्कर्म किया.एक महिला ने 16 अक्टूबर को पुलिस से शिकायत की थी कि 12 अक्टूबर रात को अकालगढ़ गांव का टिंकू उसकी 13 वर्षीय बेटी का घर से अपहरण कर एक खाली खेत में बने एक कमरे में गया था और वहां पर उसने उसके साथ दुष्कर्म किया था.,"A minor girl was kidnapped and raped in Jind. On October 16, a woman had complained to the police that on the night of October 12, Tinku of Akalgarh village had kidnapped her 13-year-old daughter from her house and went to a room in an empty field. And there he raped her.",4
"नाबालिग लड़की से चैटिंग ऐप पर दोस्ती करने बाद अपहरण के मामले में एक
शख्स को पंचकुला से गिरफ्तार किया गया है.","One arrested in kidnapping case after befriending a minor girl on chatting app
The person has been arrested from Panchkula.",2
